1;a modélisé sur une puce le cerveau d'Albert Einstein;Vous avez modélisé sur une puce le cerveau d'Albert Einstein;Quelqu'un ici a le QI d'Einstein
2;a réchauffé la guerre froide en exportant des fours micro-ondes en Russie;Vous avez réchauffé la guerre froide en exportant des fours micro-ondes en Russie;La guerre froide a été réchauffée
3;a installé une antenne de contrôle mental au dernier étage de la tour Eiffel;Vous avez installé une antenne de contrôle mental au dernier étage de la tour Eiffel;La tour Eiffel vous contrôle mentalement
4;a déclenché un feu éternel au Turkménistan en invoquant un démon infernal;Vous avez déclenché un feu éternel au Turkménistan en invoquant un démon infernal;Quelqu'un a invoqué un démon infernal
5;a détourné une étoile filante pour provoquer l'extinction des dinosaures;Vous avez détourné une étoile filante pour provoquer l'extinction des dinosaures;Qui a provoqué la fin des dinosaures ?
6;a volé et monnayé sur internet le nez du Sphinx de Gizeh;Vous avez volé et monnayé sur internet le nez du Sphinx de Gizeh;Ils ont volé le nez du Sphinx !
7;a inséré une molécule alien dans l'ADN du premier bébé éprouvette;Vous avez inséré une molécule alien dans l'ADN du premier bébé éprouvette;Le premier bébé alien est né en 1982
8;a penché la Tour de Pise pour aligner l'axe de la Terre avec le Soleil;Vous avez penché la Tour de Pise pour aligner l'axe de la Terre avec le Soleil;Défense de s'adosser à la tour de Pise
9;a provoqué un tsunami au Japon en libérant le monstre du Loch Ness;Vous avez provoqué un tsunami au Japon en libérant le monstre du Loch Ness;Les japonais adorent les monstres
10;a désaxé Pluton pour la faire sortir du système solaire;Vous avez désaxé Pluton pour la faire sortir du système solaire;Personne n'aime Pluton de toute façon...
11;a changé les lettres d'Hollywood pour envoyer un message aux Martiens;Vous avez changé les lettres d'Hollywood pour envoyer un message aux Martiens;Hollywood est très proche des Martiens
12;a hacké des radiateurs connectés pour accélérer le réchauffement climatique;Vous avez hacké des radiateurs connectés pour accélérer le réchauffement climatique;Les climato sceptiques sont ravis
13;a trouvé la localisation du Saint Graal dans les décimales de PI;Vous avez trouvé la localisation du Saint Graal dans les décimales de PI;La vie éternelle dans un nombre infini !
14;a modifié la formule du Cola pour engraisser la population mondiale;Vous avez modifié la formule du Cola pour engraisser la population mondiale;Le Cola est à boire avec modération
15;a lâché des trolls sauvages sur les réseaux sociaux des partis politiques;Vous avez lâché des trolls sauvages sur les réseaux sociaux des partis politiques;Ce jeu est vendu 100% sans troll sauvage
16;a caché un trou noir artificiel au centre du triangle des Bermudes;Vous avez caché un trou noir artificiel au centre du triangle des Bermudes;Qui part en vacances aux Bermudes ?
17;a déclenché la guerre en Irak pour récupérer le sabre laser de Saddam Hussein;Vous avez déclenché la guerre en Irak pour récupérer le sabre laser de Saddam Hussein;
18;a largué 1 400 saucisses molotov sur la Baie des Cochons;Vous avez largué 1 400 saucisses molotov sur la Baie des Cochons;Tout est bon dans le cochon !
19;a inventé la télé-réalité pour laver le cerveau des enfants;Vous avez inventé la télé-réalité pour laver le cerveau des enfants;
20;a placé des caméras de vidéo surveillance dans les toilettes du Reichstag;Vous avez placé des caméras de vidéo surveillance dans les toilettes du Reichstag;
21;a cultivé des plantations de palmiers carnivores;Vous avez cultivé des plantations de palmiers carnivores;Les palmiers végétariens ça existe ?
22;a créé une poupée gonflable animée pour séduire le président du FMI;Vous avez créé une poupée gonflable animée pour séduire le président du FMI;
23;a créé Secret Societies un jeu de propagande augmenté pour les dominer tous !;Vous avez créé Secret Societies; un jeu de propagande augmenté pour les dominer tous !;Likez la page de Secret Societies !
24;a créé la Delorean pour gagner la course à l'espace;Vous avez créé la Delorean pour gagner la course à l'espace;
25;a fait exploser une plateforme pétrolière américaine en faisant du popcron;Vous avez fait exploser une plateforme pétrolière américaine en faisant du popcron;
